"","Overall","Missing"
"n","  3299","    "
"Age at baseline (mean (SD))"," 46.42 (13.52)"," 0.0"
"Gender = Male (%)","  1425 (43.2) "," 0.0"
"Hispanic/Latino background (%)","  "," 0.0"
"   Dominican","   319 ( 9.7) ","    "
"   Central_American","   321 ( 9.7) ","    "
"   Cuban","   515 (15.6) ","    "
"   Mexican","  1284 (38.9) ","    "
"   Puerto_Rican","   566 (17.2) ","    "
"   South American","   199 ( 6.0) ","    "
"   Multi","    95 ( 2.9) ","    "
"BMI (mean (SD))"," 29.91 (5.92)"," 0.0"
"Alcohol drinking status (%)","  "," 0.0"
"   never","   585 (17.7) ","    "
"   former","  1094 (33.2) ","    "
"   current","  1619 (49.1) ","    "
"Smoking status (%)","  "," 0.1"
"   never","  1950 (59.1) ","    "
"   former","   678 (20.6) ","    "
"   current","   669 (20.3) ","    "
"Physical activity (MET-min/day) (mean (SD))","631.89 (970.69)"," 0.4"
"The Alternate Healthy Eating Index (2010) (mean (SD))"," 49.07 (7.67)"," 0.8"
"OSA status = OSA (%)","     5 ( 0.2) "," 0.0"
"Respiratory Event Index (3% desat) (events/hr) (mean (SD))","  6.58 (12.16)"," 0.0"
"Respiratory Event Index (all desat) (events/hr) (mean (SD))"," 19.27 (19.08)"," 0.0"
"Average length of each respiratory event (seconds) (mean (SD))"," 18.87 (4.36)"," 0.0"
"Percentage sleep time with SpO2<90% (mean (SD))","  0.82 (3.04)"," 0.0"
"Hypoxia Status(>=5% sleep <90% saturation) = Hypoxia (%)","   124 ( 3.8) "," 0.0"
"Hypoxic burden (%minute/hour) (mean (SD))"," 22.51 (38.22)"," 0.0"
"Minimum SpO2% (mean (SD))"," 86.97 (5.98)"," 0.0"
"Average SpO2% (mean (SD))"," 96.45 (0.95)"," 0.0"
"Baseline Diabetes status (ADA) = Yes (%)","   673 (20.4) "," 0.0"
"Baseline Hypertension status = Yes (%)","  1062 (32.2) "," 0.0"
"Incident Diabetes status (ADA) = Yes (%)","   305 (12.9) ","28.1"
"Incident Hypertension status = Yes (%)","   299 ( 9.1) "," 0.0"
"Triglycerides (mg/dL) (mean (SD))","138.45 (99.63)"," 0.1"
"HDL(mg/dL) (mean (SD))"," 49.39 (13.25)"," 0.1"
"LDL(mg/dL) (mean (SD))","123.31 (36.86)"," 1.9"
"Fasting glucose (mg/dL) (mean (SD))","104.94 (36.66)"," 0.1"
"Fasting insulin (mU/L) (mean (SD))"," 13.40 (16.86)"," 0.4"
"HOMA_IR (mean (SD))","  3.60 (5.01)"," 0.4"
"TTotal cholesterol (mg/dL) (mean (SD))","200.26 (44.27)"," 0.1"
"Systolic Blood Pressure(mm Hg) (mean (SD))","122.37 (17.63)"," 0.0"
"Diastolic Blood Pressure(mm Hg) (mean (SD))"," 73.72 (10.91)"," 0.1"
