"","Overall","Missing"
"n","3352.02","    "
"AGE (mean (SD))","  42.22 (15.03)"," 0.0"
"GENDER = Male (%)"," 1669.4 (49.8) "," 0.0"
"background (%)"," "," 0.0"
"   Dominican","  355.5 (10.6) ","    "
"   Central_American","  211.3 ( 6.3) ","    "
"   Cuban","  706.1 (21.1) ","    "
"   Mexican"," 1255.0 (37.4) ","    "
"   Puerto_Rican","  548.5 (16.4) ","    "
"   South American","  157.2 ( 4.7) ","    "
"   Multi","  118.4 ( 3.5) ","    "
"BMI (mean (SD))","  29.58 (6.20)"," 0.0"
"ALCOHOL_USE (%)"," "," 0.0"
"   never","  528.7 (15.8) ","    "
"   former"," 1014.5 (30.3) ","    "
"   current"," 1808.6 (54.0) ","    "
"CIGARETTE_USE (%)"," "," 0.1"
"   never"," 2041.4 (60.9) ","    "
"   former","  550.1 (16.4) ","    "
"   current","  759.7 (22.7) ","    "
"GPAQ_TOTAL_MET (mean (SD))"," 711.22 (1027.14)"," 0.4"
"AHEI2010 (mean (SD))","  47.83 (7.54)"," 0.8"
"OSA_status = OSA (%)","    3.6 ( 0.1) "," 0.0"
"REI3 (mean (SD))","   6.03 (12.18)"," 0.0"
"REI0 (mean (SD))","  18.21 (19.69)"," 0.0"
"event_length_sec (mean (SD))","  18.71 (4.43)"," 0.0"
"SLPA97 (mean (SD))","   0.75 (3.18)"," 0.0"
"Per90_status = Hypoxia (%)","  110.8 ( 3.3) "," 0.0"
"hypoxicburden_harmonized (mean (SD))","  20.37 (36.17)"," 0.0"
"SLPA91 (mean (SD))","  87.49 (5.71)"," 0.0"
"SLPA92 (mean (SD))","  96.52 (0.92)"," 0.0"
"baseline_dm = Yes (%)","  562.4 (16.8) "," 0.0"
"baseline_htn = Yes (%)","  900.7 (26.9) "," 0.0"
"incident_dm = Yes (%)","  262.2 (11.6) ","28.1"
"incident_htn = Yes (%)","  254.8 ( 7.6) "," 0.0"
"LABA67 (mean (SD))"," 130.28 (87.82)"," 0.1"
"LABA68 (mean (SD))","  48.82 (12.89)"," 0.1"
"LABA69 (mean (SD))"," 121.11 (35.63)"," 1.9"
"LABA70 (mean (SD))"," 102.74 (33.95)"," 0.1"
"INSULIN_FAST (mean (SD))","  13.18 (15.96)"," 0.4"
"HOMA_IR (mean (SD))","   3.48 (4.74)"," 0.4"
"LABA66 (mean (SD))"," 195.88 (42.30)"," 0.1"
"SBPA5 (mean (SD))"," 120.55 (17.18)"," 0.0"
"SBPA6 (mean (SD))","  72.92 (10.89)"," 0.1"
