"","0","1","p","test","Missing"
"n","9998.97","1680.44","","","    "
"AGE (mean (SD))","  42.14 (14.86)","  38.22 (15.30)","<0.001",""," 0.0"
"GENDER = Male (%)"," 5033.8 (50.3) ","  649.9 (38.7) ","<0.001",""," 0.0"
"background (%)"," "," ","<0.001",""," 0.2"
"   Dominican"," 1015.0 (10.2) ","  180.3 (10.7) ","","","    "
"   Central_American","  760.1 ( 7.6) ","   90.1 ( 5.4) ","","","    "
"   Cuban"," 1982.4 (19.9) ","  336.9 (20.0) ","","","    "
"   Mexican"," 3843.1 (38.5) ","  567.7 (33.8) ","","","    "
"   Puerto_Rican"," 1487.9 (14.9) ","  357.6 (21.3) ","","","    "
"   South American","  532.1 ( 5.3) ","   53.6 ( 3.2) ","","","    "
"   Multi","  350.9 ( 3.5) ","   94.3 ( 5.6) ","","","    "
"BMI (mean (SD))","  29.18 (5.79)","  30.78 (7.43)","<0.001",""," 0.1"
"ALCOHOL_USE (%)"," "," "," 0.308",""," 0.1"
"   never"," 1757.9 (17.6) ","  285.0 (17.0) ","","","    "
"   former"," 2969.2 (29.7) ","  550.8 (32.8) ","","","    "
"   current"," 5267.6 (52.7) ","  843.6 (50.2) ","","","    "
"CIGARETTE_USE (%)"," "," "," 0.001",""," 0.2"
"   never"," 6141.1 (61.5) "," 1056.9 (63.0) ","","","    "
"   former"," 1865.5 (18.7) ","  217.7 (13.0) ","","","    "
"   current"," 1973.7 (19.8) ","  403.1 (24.0) ","","","    "
"GPAQ_TOTAL_MET (mean (SD))"," 713.90 (1072.94)"," 735.41 (1104.39)"," 0.672",""," 0.5"
"AHEI2010 (mean (SD))","  48.04 (7.38)","  45.52 (6.81)","<0.001",""," 1.1"
"OSA_status = OSA (%)","   10.7 ( 0.1) ","    0.0 ( 0.0) "," 0.289",""," 0.0"
"REI3 (mean (SD))","   5.48 (10.17)","   7.75 (19.34)"," 0.002",""," 0.0"
"REI0 (mean (SD))","  17.98 (17.64)","  14.70 (26.05)"," 0.009",""," 0.0"
"event_length_sec (mean (SD))","  19.33 (4.42)","  14.59 (2.73)","<0.001",""," 0.0"
"SLPA97 (mean (SD))","   0.58 (2.21)","   1.76 (5.87)","<0.001",""," 0.0"
"Per90_status = Hypoxia (%)","  265.3 ( 2.7) ","  144.4 ( 8.6) ","<0.001",""," 0.0"
"hypoxicburden_harmonized (mean (SD))","  19.29 (30.86)","  20.74 (52.43)"," 0.399",""," 0.0"
"SLPA91 (mean (SD))","  87.88 (5.27)","  85.62 (7.58)","<0.001",""," 0.0"
"SLPA92 (mean (SD))","  96.61 (0.73)","  95.92 (1.49)","<0.001",""," 0.0"
"baseline_dm = Yes (%)"," 1587.3 (15.9) ","  297.2 (17.7) "," 0.215",""," 0.1"
"baseline_htn = Yes (%)"," 2556.8 (25.6) ","  409.4 (24.4) "," 0.493",""," 0.0"
"incident_dm = Yes (%)","  766.9 (11.4) ","  125.6 (11.7) "," 0.840","","27.8"
"incident_htn = Yes (%)","  772.5 ( 7.7) ","  123.5 ( 7.4) "," 0.745",""," 0.0"
"LABA67 (mean (SD))"," 134.45 (124.68)"," 133.88 (103.17)"," 0.906",""," 0.8"
"LABA68 (mean (SD))","  48.53 (12.68)","  47.72 (12.64)"," 0.159",""," 0.8"
"LABA69 (mean (SD))"," 121.44 (36.41)"," 116.91 (35.22)"," 0.002",""," 2.8"
"LABA70 (mean (SD))"," 102.09 (32.59)"," 104.68 (41.20)"," 0.114",""," 0.9"
"INSULIN_FAST (mean (SD))","  12.87 (12.32)","  14.54 (12.26)"," 0.001",""," 1.2"
"HOMA_IR (mean (SD))","   3.37 (3.85)","   3.97 (4.48)"," 0.001",""," 1.2"
"LABA66 (mean (SD))"," 196.24 (43.27)"," 190.95 (42.93)"," 0.003",""," 0.8"
"SBPA5 (mean (SD))"," 120.54 (17.19)"," 118.24 (16.76)"," 0.001",""," 0.1"
"SBPA6 (mean (SD))","  72.34 (10.86)","  72.13 (11.09)"," 0.659",""," 0.1"
"WHIIRS (mean (SD))","   6.63 (5.27)","   7.38 (5.44)"," 0.002",""," 2.8"
"restless = Yes (%)"," 1769.5 (20.2) ","  329.0 (22.7) "," 0.160","","11.5"
"pill = Yes (%)","  634.0 ( 6.4) ","  142.0 ( 8.7) "," 0.087",""," 1.2"
"backtosleep = Yes (%)"," 1727.9 (17.8) ","  366.8 (22.8) "," 0.007",""," 2.5"
"earlywake = Yes (%)"," 2123.6 (21.5) ","  336.8 (20.6) "," 0.604",""," 1.3"
"freqwake = Yes (%)"," 3033.8 (30.8) ","  596.2 (36.4) "," 0.005",""," 1.3"
"fallasleep = Yes (%)"," 2089.2 (21.2) ","  509.2 (31.1) ","<0.001",""," 1.3"
"ESS (mean (SD))","   5.62 (4.65)","   5.55 (4.54)"," 0.691",""," 1.6"
"essgt10_fct = Yes (%)"," 1468.5 (14.9) ","  196.2 (12.0) "," 0.042",""," 1.6"
"snore_fct = Yes (%)"," 2029.1 (28.6) ","  294.5 (24.3) "," 0.043","","29.1"
"SLPDUR (mean (SD))","   7.98 (1.40)","   8.07 (1.57)"," 0.189",""," 4.6"
"SLPA111 (mean (SD))","  51.05 (7.68)","  51.83 (8.70)"," 0.027",""," 0.0"
"SLPA112 (mean (SD))","  99.41 (11.52)"," 102.14 (12.12)","<0.001",""," 0.0"
"SLPA113 (mean (SD))","  67.23 (9.07)","  70.38 (9.90)","<0.001",""," 0.0"
"SLPA114 (mean (SD))","   5.34 (1.51)","   5.62 (1.80)","<0.001",""," 0.0"
