"","0","1","p","test","Missing"
"n"," 10488","  1165","","","    "
"AGE..mean..SD..","  42.14 (14.86)","  38.22 (15.30)","<0.001",""," 0.0"
"GENDER...Male....","  4392 (41.9) ","   404 (34.7) ","<0.001",""," 0.0"
"background...."," "," ","<0.001",""," 0.2"
"X...Dominican","   964 ( 9.2) ","   127 (10.9) ","","","    "
"X...Central_American","  1137 (10.9) ","    89 ( 7.6) ","","","    "
"X...Cuban","  1440 (13.8) ","   215 (18.5) ","","","    "
"X...Mexican","  4197 (40.1) ","   389 (33.4) ","","","    "
"X...Puerto_Rican","  1712 (16.4) ","   250 (21.5) ","","","    "
"X...South.American","   712 ( 6.8) ","    52 ( 4.5) ","","","    "
"X...Multi","   301 ( 2.9) ","    43 ( 3.7) ","","","    "
"BMI..mean..SD..","  29.18 (5.79)","  30.78 (7.43)","<0.001",""," 0.1"
"ALCOHOL_USE...."," "," "," 0.890",""," 0.1"
"X...never","  1963 (18.7) ","   223 (19.2) ","","","    "
"X...former","  3480 (33.2) ","   389 (33.4) ","","","    "
"X...current","  5038 (48.1) ","   551 (47.4) ","","","    "
"CIGARETTE_USE...."," "," ","<0.001",""," 0.2"
"X...never.1","  6355 (60.7) ","   676 (58.1) ","","","    "
"X...former.1","  2221 (21.2) ","   176 (15.1) ","","","    "
"X...current.1","  1895 (18.1) ","   311 (26.7) ","","","    "
"GPAQ_TOTAL_MET..mean..SD.."," 713.90 (1072.94)"," 735.41 (1104.39)"," 0.672",""," 0.5"
"AHEI2010..mean..SD..","  48.04 (7.38)","  45.52 (6.81)","<0.001",""," 1.1"
"OSA_status...OSA....","    12 ( 0.1) ","     0 ( 0.0) "," 0.501",""," 0.0"
"REI3..mean..SD..","   5.48 (10.17)","   7.75 (19.34)"," 0.002",""," 0.0"
"REI0..mean..SD..","  17.98 (17.64)","  14.70 (26.05)"," 0.009",""," 0.0"
"event_length_sec..mean..SD..","  19.33 (4.42)","  14.59 (2.73)","<0.001",""," 0.0"
"SLPA97..mean..SD..","   0.58 (2.21)","   1.76 (5.87)","<0.001",""," 0.0"
"Per90_status...Hypoxia....","   358 ( 3.4) ","   118 (10.1) ","<0.001",""," 0.0"
"hypoxicburden_harmonized..mean..SD..","  19.29 (30.86)","  20.74 (52.43)"," 0.399",""," 0.0"
"SLPA91..mean..SD..","  87.88 (5.27)","  85.62 (7.58)","<0.001",""," 0.0"
"SLPA92..mean..SD..","  96.61 (0.73)","  95.92 (1.49)","<0.001",""," 0.0"
"baseline_dm...Yes....","  2162 (20.6) ","   255 (21.9) "," 0.325",""," 0.1"
"baseline_htn...Yes....","  3288 (31.4) ","   337 (28.9) "," 0.097",""," 0.0"
"incident_dm...Yes....","   997 (13.1) ","    95 (12.0) "," 0.435","","27.8"
"incident_htn...Yes....","  1016 ( 9.7) ","   107 ( 9.2) "," 0.618",""," 0.0"
"LABA67..mean..SD.."," 134.45 (124.68)"," 133.88 (103.17)"," 0.906",""," 0.8"
"LABA68..mean..SD..","  48.53 (12.68)","  47.72 (12.64)"," 0.159",""," 0.8"
"LABA69..mean..SD.."," 121.44 (36.41)"," 116.91 (35.22)"," 0.002",""," 2.8"
"LABA70..mean..SD.."," 102.09 (32.59)"," 104.68 (41.20)"," 0.114",""," 0.9"
"INSULIN_FAST..mean..SD..","  12.87 (12.32)","  14.54 (12.26)"," 0.001",""," 1.2"
"HOMA_IR..mean..SD..","   3.37 (3.85)","   3.97 (4.48)"," 0.001",""," 1.2"
"LABA66..mean..SD.."," 196.24 (43.27)"," 190.95 (42.93)"," 0.003",""," 0.8"
"SBPA5..mean..SD.."," 120.54 (17.19)"," 118.24 (16.76)"," 0.001",""," 0.1"
"SBPA6..mean..SD..","  72.34 (10.86)","  72.13 (11.09)"," 0.659",""," 0.1"
"WHIIRS..mean..SD..","   6.63 (5.27)","   7.38 (5.44)"," 0.002",""," 2.8"
"restless...Yes....","  1960 (21.1) ","   256 (24.7) "," 0.009","","11.5"
"pill...Yes....","   716 ( 6.9) ","   115 (10.1) ","<0.001",""," 1.2"
"backtosleep...Yes....","  2000 (19.5) ","   252 (22.5) "," 0.022",""," 2.5"
"earlywake...Yes....","  2412 (23.3) ","   259 (22.7) "," 0.703",""," 1.3"
"freqwake...Yes....","  3603 (34.8) ","   426 (37.3) "," 0.091",""," 1.3"
"fallasleep...Yes....","  2403 (23.2) ","   334 (29.3) ","<0.001",""," 1.3"
"ESS..mean..SD..","   5.62 (4.65)","   5.55 (4.54)"," 0.691",""," 1.6"
"essgt10_fct...Yes....","  1599 (15.5) ","   165 (14.5) "," 0.403",""," 1.6"
"snore_fct...Yes....","  2420 (32.7) ","   248 (29.1) "," 0.042","","29.1"
"SLPDUR..mean..SD..","   7.98 (1.40)","   8.07 (1.57)"," 0.189",""," 4.6"
"SLPA111..mean..SD..","  51.05 (7.68)","  51.83 (8.70)"," 0.027",""," 0.0"
"SLPA112..mean..SD..","  99.41 (11.52)"," 102.14 (12.12)","<0.001",""," 0.0"
"SLPA113..mean..SD..","  67.23 (9.07)","  70.38 (9.90)","<0.001",""," 0.0"
"SLPA114..mean..SD..","   5.34 (1.51)","   5.62 (1.80)","<0.001",""," 0.0"
