"chemid_x","beta","se","n","p_val","p_val_Bonf","p_val_fdr","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named","model","strata","trait","metaboltie","chemical_name","hmdb"
"X100001856",0.132987228200722,0.0484074131493614,550,0.00600974481977112,1,0.0885323231225237,0,1.05289813957507,"Not Sig","Not Sig","Continuous",NA,NA,"model_2","Male","sdb_pc2","X100001856","1-stearoyl-2-oleoyl-GPE (18:0/18:1)","HMDB0008993"
"X100001856",0.11636950047997,0.0636856364330017,524,0.0676623749178428,1,0.459205760948201,0,0.337992672151198,"Not Sig","Not Sig","Continuous",NA,NA,"model_3","Male","sdb_pc2","X100001856","1-stearoyl-2-oleoyl-GPE (18:0/18:1)","HMDB0008993"
"X100001856",0.126355961781411,0.0464637554682468,562,0.00653901463357682,1,0.13123125919799,0,0.881962703983176,"Not Sig","Not Sig","Continuous",NA,NA,"model_1","Male","sdb_pc2","X100001856","1-stearoyl-2-oleoyl-GPE (18:0/18:1)","HMDB0008993"
"X100001856",0.111516741017855,0.0310793935254708,1522,0.00033306493222513,0.193843790555026,0.0387687581110051,0.712548106294017,1.41151811063004,"Not Sig","FDR<0.05","Continuous",NA,NA,"model_1","both","sdb_pc1","X100001856","1-stearoyl-2-oleoyl-GPE (18:0/18:1)","HMDB0008993"
"X100001856",0.138935414995819,0.0399186440288031,950,0.000500545547307881,0.291317508533187,0.0416167869333124,0.535633412966414,1.38073145298067,"Not Sig","FDR<0.05","Continuous",NA,NA,"model_2","Female","sdb_pc2","X100001856","1-stearoyl-2-oleoyl-GPE (18:0/18:1)","HMDB0008993"
"X100001856",0.157033230740704,0.0484210945375281,562,0.00118247169037479,0.688198523798125,0.106809252145578,0.162286263285876,0.971391125755659,"Not Sig","Not Sig","Continuous",NA,NA,"model_1","Male","sdb_pc1","X100001856","1-stearoyl-2-oleoyl-GPE (18:0/18:1)","HMDB0008993"
"X100001856",0.148808628181914,0.0416280349609105,960,0.000350601001287338,0.204049782749231,0.0338295642700692,0.690263863281597,1.47070359595495,"Not Sig","FDR<0.05","Continuous",NA,NA,"model_1","Female","sdb_pc2","X100001856","1-stearoyl-2-oleoyl-GPE (18:0/18:1)","HMDB0008993"
"X100001856",0.140054230074084,0.0327293935841348,1522,0.000018760207860893,0.0109184409750397,0.00270960170744883,1.96183936934871,2.56709454269374,"Bonf<0.05","FDR<0.05","Continuous",NA,NA,"model_1","both","sdb_pc2","X100001856","1-stearoyl-2-oleoyl-GPE (18:0/18:1)","HMDB0008993"
"X100001856",0.0552865828114577,0.036689385375821,950,0.131840847359458,1,0.585735673001563,0,0.232298325372842,"Not Sig","Not Sig","Continuous",NA,NA,"model_2","Female","sdb_pc1","X100001856","1-stearoyl-2-oleoyl-GPE (18:0/18:1)","HMDB0008993"
"X100001856",0.109496292168914,0.0309683981909339,1500,0.000406630319456018,0.236658845923402,0.0296556162378248,0.625877257670015,1.52789304698367,"Not Sig","FDR<0.05","Continuous",NA,NA,"model_2","both","sdb_pc1","X100001856","1-stearoyl-2-oleoyl-GPE (18:0/18:1)","HMDB0008993"
"X100001856",0.163834928006881,0.06044061704243,524,0.00671462094751116,1,0.239661408982106,0,0.620401891771155,"Not Sig","Not Sig","Continuous",NA,NA,"model_3","Male","sdb_pc1","X100001856","1-stearoyl-2-oleoyl-GPE (18:0/18:1)","HMDB0008993"
"X100001856",0.0939784909235506,0.0639518432125083,933,0.141691893216884,1,0.460696546660485,0,0.336585043167152,"Not Sig","Not Sig","Continuous",NA,NA,"model_3","Female","sdb_pc2","X100001856","1-stearoyl-2-oleoyl-GPE (18:0/18:1)","HMDB0008993"
"X100001856",0.109146821611504,0.0445236999835955,1457,0.0142289079964548,1,0.295758016212024,0,0.529063475442322,"Not Sig","Not Sig","Continuous",NA,NA,"model_3","both","sdb_pc2","X100001856","1-stearoyl-2-oleoyl-GPE (18:0/18:1)","HMDB0008993"
"X100001856",0.15628514294964,0.0430306410958215,550,0.000281287478252091,0.163709312342717,0.0409273280856793,0.785926615737559,1.38798660706552,"Not Sig","FDR<0.05","Continuous",NA,NA,"model_2","Male","sdb_pc1","X100001856","1-stearoyl-2-oleoyl-GPE (18:0/18:1)","HMDB0008993"
"X100001856",0.145025066066892,0.0336426453860994,1500,0.0000162701057972518,0.00946920157400056,0.00236730039350014,2.02368663838048,2.62574662970844,"Bonf<0.05","FDR<0.05","Continuous",NA,NA,"model_2","both","sdb_pc2","X100001856","1-stearoyl-2-oleoyl-GPE (18:0/18:1)","HMDB0008993"
"X100001856",0.0646059280829226,0.0371372839551099,960,0.0819202476694474,1,0.455491518131877,0,0.341519705766327,"Not Sig","Not Sig","Continuous",NA,NA,"model_1","Female","sdb_pc1","X100001856","1-stearoyl-2-oleoyl-GPE (18:0/18:1)","HMDB0008993"
"X100001856",0.058511067366851,0.0386348863708055,1457,0.129908704094929,1,0.661233218213334,0,0.179645337005651,"Not Sig","Not Sig","Continuous",NA,NA,"model_3","both","sdb_pc1","X100001856","1-stearoyl-2-oleoyl-GPE (18:0/18:1)","HMDB0008993"
"X100001856",0.00936317494528823,0.0479242033312706,933,0.845099652511105,1,0.968162767769673,0,0.0140516228551094,"Not Sig","Not Sig","Continuous",NA,NA,"model_3","Female","sdb_pc1","X100001856","1-stearoyl-2-oleoyl-GPE (18:0/18:1)","HMDB0008993"
"X100002989",0.0412311287952166,0.0373332232529249,1500,0.269415978707621,1,0.609459078328741,0,0.215055449442892,"Not Sig","Not Sig","Continuous",NA,NA,"model_2","both","sdb_pc2","X100002989","oleoyl-linoleoyl-glycerol (18:1/18:2) [1]","HMDB0007219"
"X100002989",0.0375568311905883,0.0541666579181417,550,0.488085543091359,1,0.79347984938316,0,0.100464097784773,"Not Sig","Not Sig","Continuous",NA,NA,"model_2","Male","sdb_pc2","X100002989","oleoyl-linoleoyl-glycerol (18:1/18:2) [1]","HMDB0007219"
"X100002989",0.0471481722424628,0.0276246996060534,1522,0.0878704398403927,1,0.382324808601033,0,0.417567520215445,"Not Sig","Not Sig","Continuous",NA,NA,"model_1","both","sdb_pc1","X100002989","oleoyl-linoleoyl-glycerol (18:1/18:2) [1]","HMDB0007219"
"X100002989",0.0285757158364604,0.0433775924529073,950,0.510045558427452,1,0.732548923344845,0,0.13516336560977,"Not Sig","Not Sig","Continuous",NA,NA,"model_2","Female","sdb_pc2","X100002989","oleoyl-linoleoyl-glycerol (18:1/18:2) [1]","HMDB0007219"
"X100002989",0.0456265184021725,0.0404506676299804,550,0.259339074582852,1,0.558852971516244,0,0.252702435509038,"Not Sig","Not Sig","Continuous",NA,NA,"model_2","Male","sdb_pc1","X100002989","oleoyl-linoleoyl-glycerol (18:1/18:2) [1]","HMDB0007219"
"X100002989",-0.105754890621364,0.0670252564189656,524,0.114603194590635,1,0.529048171287332,0,0.276504782460447,"Not Sig","Not Sig","Continuous",NA,NA,"model_3","Male","sdb_pc2","X100002989","oleoyl-linoleoyl-glycerol (18:1/18:2) [1]","HMDB0007219"
"X100002989",-0.0199533027725625,0.0422793357790563,1457,0.636969733293788,1,0.886881303294222,0,0.0521345005445589,"Not Sig","Not Sig","Continuous",NA,NA,"model_3","both","sdb_pc1","X100002989","oleoyl-linoleoyl-glycerol (18:1/18:2) [1]","HMDB0007219"
"X100002989",0.0514870183431835,0.0358627835224127,960,0.151097091850603,1,0.552027019742864,0,0.258039664593189,"Not Sig","Not Sig","Continuous",NA,NA,"model_1","Female","sdb_pc1","X100002989","oleoyl-linoleoyl-glycerol (18:1/18:2) [1]","HMDB0007219"
"X100002989",0.0408895674386114,0.0404352467351785,562,0.311903604476703,1,0.643715949664684,0,0.191305730011088,"Not Sig","Not Sig","Continuous",NA,NA,"model_1","Male","sdb_pc1","X100002989","oleoyl-linoleoyl-glycerol (18:1/18:2) [1]","HMDB0007219"
"X100002989",-0.0881413481074595,0.0619983128400915,524,0.155121104826771,1,0.585561884133016,0,0.232427200476731,"Not Sig","Not Sig","Continuous",NA,NA,"model_3","Male","sdb_pc1","X100002989","oleoyl-linoleoyl-glycerol (18:1/18:2) [1]","HMDB0007219"
